19 | Q4
19 P5 D16 O16 E4 C4 C3 B3 D3 C7 B2 C10 | R16
19 P5 D16 O16 E4 C4 C3 B3 D3 C7 B2 C10 R16 | R17
19 P5 D16 O16 E4 C4 C3 B3 D3 C7 B2 C10 R16 R17 | S17
19 P5 D16 O16 E4 C4 C3 B3 D3 C7 B2 C10 R16 R17 S17 | Q17
19 P5 D16 O16 E4 C4 C3 B3 D3 C7 B2 C10 R16 R17 S17 Q17 | S15
19 P5 D16 O16 D3 | C5
19 P5 D16 O16 D3 C5 | E4
19 P5 D16 O16 D3 C5 E4 | C10
19 P5 D16 R15 | D4
19 P5 D16 R15 D4 | R5
19 P5 D16 R15 D3 | R5
19 P5 D16 R15 D3 R5 | Q17
19 P5 D16 R15 D3 R5 Q17 | P16
19 P5 D16 R15 D3 R5 Q17 P16 | P17
19 P5 D16 R15 D3 R5 Q17 P16 P17 | O16
19 P5 D16 R15 D3 R5 Q17 P16 P17 O16 | N17
19 P5 D16 R15 D3 R5 Q17 P16 P17 O16 N17 | N16
19 P5 D16 R15 D3 R5 Q17 P16 P17 O16 N17 N16 | M17
19 P5 D16 R15 D3 R5 Q17 P16 P17 O16 N17 N16 M17 | M16
19 P5 D16 R15 D3 R5 Q17 P16 P17 O16 N17 N16 M17 M16 | L16
19 P5 D16 R15 D3 R5 Q17 P16 P17 O16 N17 N16 M17 M16 L16 | L15
19 P5 D16 R15 D3 R5 Q17 P16 P17 O16 N17 N16 M17 M16 L16 L15 | K15
19 P5 D16 Q15 | D4
19 P5 D16 Q15 D4 | R5
19 P5 D16 Q14 | D4
19 P5 D16 Q14 D4 | R5
19 P5 D16 P17 | D4
19 P5 D16 P17 D4 | R5
19 P5 D16 P17 D4 G4 | D6
19 P5 D16 D5 | Q16
19 P5 D16 D5 Q16 | P3
19 P5 D16 F17 | C14
19 P5 D16 D3 | Q16
19 P5 Q16 | E5
19 P5 Q16 E15 | D4
19 P5 Q16 E15 D4 | O17
19 P5 Q16 E15 D4 O17 | R14
19 P5 Q16 E15 D4 O17 R14 | O15
19 P5 Q16 E3 | D16
19 P5 Q16 D4 | C16
19 P5 Q16 D4 C16 | P3
19 P5 Q16 D4 C16 P3 | J3
19 P5 Q16 D4 C16 P3 J3 | G3
19 P5 Q16 D4 C16 P3 J3 G3 | M3
19 P5 Q16 D4 D16 | R14
19 P5 Q16 D4 D16 Q13 | O16
19 P5 Q16 F4 | D16
19 P5 E15 | P15
19 P5 E15 P15 | E5
19 P5 E15 P15 E5 | C5
19 P5 E15 P15 D5 | C15
19 P5 E15 P15 D5 C15 | C16
19 P5 E15 P15 D5 C15 C16 | B16
19 P5 E15 P15 D5 C15 C16 B16 | D16
19 P5 E15 P15 D5 C15 C16 B16 D16 | B17
19 P5 E15 P15 D5 C15 C16 B16 D16 B17 | C14
19 P5 E15 P15 D5 C15 C16 B16 D16 B17 C14 | B14
19 P5 E15 P15 D5 C15 C16 B16 D16 B17 C14 B14 | D15
19 P5 E15 P15 D5 C15 C16 B16 D16 B17 C14 B14 D15 | C13
19 P5 E15 P15 D5 C15 C16 B16 D16 B17 C14 B14 D15 C13 | B15
19 P5 E15 P15 D5 C15 C16 B16 D16 B17 C14 B14 D15 C13 B15 | A15
19 P5 E15 Q17 | Q14
19 P5 E15 Q17 Q14 | C4
19 P5 E15 Q15 | D5
19 P5 R16 | E5
19 P5 R16 E5 | D15
19 P5 R16 E5 D15 | K11
19 P5 R16 E5 D15 K11 | Q10
19 P5 R16 E4 | C16
19 P5 R16 D6 | C16
19 P5 R16 E3 | D16
19 P5 R16 P16 | M16
19 P5 R16 P16 M16 | D17
19 K10 D15 C4 | P4
19 K10 D15 C4 P4 | D17
19 K10 D15 C4 P4 D17 | C17
19 K10 D15 J14 | Q15
19 K10 D15 J14 Q15 | L6
19 K10 D15 Q5 | E4
19 K10 D15 Q5 E4 | P16
19 K10 D15 Q5 E4 P16 | R10
19 K10 D15 H10 | Q15
19 K10 D15 H10 Q15 | M10
19 K10 D15 H10 Q15 M10 | E4
19 K10 D15 H10 Q15 M10 E4 | Q3
19 K10 D15 H10 Q15 M10 E4 Q3 | R6
19 K10 D15 H10 Q15 M10 E4 Q3 R6 | C4
19 K10 D15 H10 Q15 M10 E4 Q3 R6 C4 | C3
19 K10 D15 H10 Q15 M10 E4 Q3 R6 C4 C3 | B3
19 K10 D15 H10 Q15 M10 E4 Q3 R6 C4 C3 B3 | D3
19 K10 D15 H10 Q15 M10 E4 Q3 R6 C4 C3 B3 D3 | B5
19 K10 D15 H10 Q15 M10 E4 Q3 R6 C4 C3 B3 D3 B5 | H3
19 K10 D15 H10 Q15 M10 E4 Q3 R6 C4 C3 B3 D3 B5 H3 | R4
19 K10 D15 M10 | Q15
19 K10 P3 | E17
19 K10 P3 E17 | C5
19 K10 P3 E17 C5 | R15
19 K10 P3 E17 P17 | E3
19 K10 P3 E17 D5 | Q15
19 K10 P3 R16 | E17
19 K10 P3 Q5 | R4
19 K10 P3 Q5 R4 | R5
19 K10 P3 O16 | D17
19 K10 P3 O16 D17 | F4
19 K10 H9 | K8
19 K10 H9 K8 | H11
19 K10 H9 K8 H12 | K12
19 K10 H9 H11 | K8
19 K10 H9 H11 K8 | M9
19 K10 H9 H11 K8 M9 | M7
19 K10 H9 H11 K8 M9 M7 | O8
19 K10 H9 H11 K8 M9 M7 O8 | F10
19 K10 H9 H11 K8 M9 M7 O8 F10 | F12
19 K10 H9 H11 K8 M9 M7 O8 F10 F12 | O6
19 K10 H9 C16 | L12
19 K10 H9 C16 L12 | D3
19 K10 H9 C16 L12 D3 | J11
19 K10 H9 H10 | J10
19 K10 H9 H10 J10 | J9
19 K10 H9 H10 J10 J9 | J11
19 K10 K11 | L11
19 K10 K11 L11 | L10
19 K10 K11 L11 L10 | J10
19 K10 K11 L11 L10 J10 | K12
19 K10 K11 L11 L10 J10 K12 | M11
19 K10 K11 L11 L10 J10 K12 M11 | L9
19 K10 K11 L11 L10 J10 K12 M11 L9 | N9
19 K10 K11 L11 L10 L12 | J11
19 K10 K11 L11 L10 L12 J11 | K9
19 K10 K11 L11 L10 L12 J11 K9 | M10
19 K10 K11 L10 | J10
19 K10 E15 | D10
19 K10 E15 D10 | G10
19 K10 E15 Q4 | P15
19 K10 R17 | C3
19 K10 R17 C3 | C17
19 K10 R17 C3 C17 | R3
19 K10 R17 Q16 | R16
19 K10 R17 Q16 R16 | Q15
19 K10 R17 Q16 R16 Q15 | P18
19 K10 R17 Q16 R16 Q15 P18 | N16
19 K10 R17 Q16 R16 Q15 P18 N16 | S14
19 P4 | D16
19 P4 D16 | D5
19 P4 D16 D5 | Q16
19 P4 D16 D5 Q16 | C14
19 P4 D16 D5 Q16 C14 | F17
19 P4 D16 D5 Q16 C14 F17 | D11
19 P4 D16 D5 Q16 C14 F17 D11 | C3
19 P4 D16 D5 Q16 C14 F17 D11 C3 | E3
19 P4 D16 D5 Q16 C14 F17 E14 | D10
19 P4 D16 D5 Q16 C14 F16 | D10
19 P4 D16 D5 Q16 C14 F16 D11 | R4
19 P4 D16 D5 Q16 R14 | O17
19 P4 D16 D5 Q16 R14 O17 | Q11
19 P4 D16 D5 Q16 D3 | N3
19 P4 D16 D5 Q16 E3 | C10
19 P4 D16 D5 Q16 D13 | F16
19 P4 D16 D5 Q16 D13 F16 | Q13
19 P4 D16 D5 Q16 Q10 | D3
19 P4 D16 D5 Q16 Q10 D3 | C3
19 P4 D16 D5 Q16 Q10 D3 C3 | C2
19 P4 D16 D5 Q16 Q10 D3 C3 C2 | C4
19 P4 D16 D5 Q16 Q10 D3 C3 C2 C4 | E2
19 P4 D16 D5 Q16 Q10 D3 C3 C2 C4 E2 | F3
19 P4 D16 D5 Q16 Q10 D3 C3 C2 C4 E2 F3 | E4
19 P4 D16 D5 Q16 Q10 D3 C3 C2 C4 E2 F3 E4 | H4
19 P4 D16 D5 Q16 Q10 D3 C3 C2 C4 E2 F3 E4 H4 | E5
19 P4 D16 D5 Q16 Q10 D3 C3 C2 C4 E2 F3 E4 H4 E5 | D7
19 P4 D16 D5 Q16 Q10 D3 C3 C2 C4 E2 F3 E4 H4 E5 D7 | D6
19 P4 D16 D5 Q16 Q10 D3 C3 C2 C4 E2 F3 E4 H4 E5 D7 D6 | C6
19 P4 D16 D5 Q16 Q10 D3 C3 C2 C4 E2 F3 E4 H4 E5 D7 D6 C6 | E6
19 P4 D16 D5 R16 | P16
19 P4 D16 D5 R16 P16 | M16
19 P4 D16 D5 R16 C14 | F17
19 P4 D16 D5 Q15 | C14
19 P4 D16 D5 Q15 Q17 | R17
19 P4 D16 D5 Q15 Q17 R17 | R18
19 P4 D16 D5 Q15 Q17 R17 R18 | R16
19 P4 D16 D5 Q15 Q17 R17 R18 R16 | P18
19 P4 D16 D5 Q15 Q17 R17 R18 R16 P18 | R11
19 P4 D16 D5 D3 | Q15
19 P4 D16 D5 D3 Q15 | C5
19 P4 D16 D5 D3 Q15 C5 | C6
19 P4 D16 D5 D3 Q15 C5 C6 | C4
19 P4 D16 P16 | D4
19 P4 D16 P16 D4 | Q10
19 P4 D16 P16 D4 Q10 | D10
19 P4 D16 P16 D4 Q10 D10 | F3
19 P4 D16 P16 D4 Q10 R16 | Q14
19 P4 D16 P16 D4 F17 | C14
19 P4 D16 P16 D3 | Q10
19 P4 D16 P16 D3 Q10 | R16
19 P4 D16 P16 D3 Q10 R16 | Q14
19 P4 D16 P16 D3 Q10 R16 Q14 | P17
19 P4 D16 P16 D3 Q10 R16 Q14 P17 | Q17
19 P4 D16 P16 D3 Q10 R16 Q14 P17 Q17 | Q16
19 P4 D16 P16 D3 Q10 R16 Q14 P17 Q17 Q16 | R17
19 P4 D16 P16 D3 Q10 R16 Q14 P17 Q17 Q16 R17 | S17
19 P4 D16 P16 D3 Q10 R16 Q14 P17 Q17 Q16 R17 S17 | S18
19 P4 D16 P16 E3 | Q10
19 P4 D16 P16 E3 Q10 | K17
19 P4 D16 D4 | Q16
19 P4 D16 D4 R16 | P16
19 P4 D16 D4 R15 | Q17
19 P4 D16 Q15 | D4
19 P4 D16 Q15 D3 | D5
19 P4 D16 Q15 E3 | R5
19 P4 D16 Q15 E3 R5 | R10
19 P4 D16 Q15 E3 R5 R10 | R12
19 P4 D16 Q15 E3 R5 R10 R12 | R7
19 P4 D16 Q15 E3 R5 R10 R12 R7 | Q17
